register                      ,attribute                        ,address ,size ,Type    ,group    ,active ,byteorder    ,function              ,description
ConsumoC                      ,consumption_c                    ,    136 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Consumo fase C (desde o último reset)
ConsumoT                      ,total_consumption                ,    138 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Consumo total (desde o último reset)
EnergGerPontaMesPassado       ,generated_energy_peak_time       ,    156 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia gerada no mês anterior no horário de ponta
EnergGerForaPontaMesPassado   ,generated_energy_off_peak_time   ,    158 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia gerada no mês anterior no horário fora de ponta
ConsumoPontaMesPassado        ,consumption_peak_time            ,    162 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Consumo no mês anterior no horário de ponta
ConsumoForaPontaMesPassado    ,consumption_off_peak_time        ,    164 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Consumo no mês anterior no horário fora de ponta
EnergIndPontaMesPassado       ,inductive_power_peak_time        ,    168 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia Indutiva no mês anterior no horário de ponta
EnergIndForaPontaMesPassado   ,inductive_power_off_peak_time    ,    170 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia Indutiva no mês anterior no horário fora de ponta
EnergCapPontaMesPassado       ,capacitive_power_peak_time       ,    174 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia Capacitiva no mês anterior no horário de ponta
EnergCapForaPontaMesPassado   ,capacitive_power_off_peak_time   ,    176 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia Capacitiva no mês anterior no horário fora de ponta
MaxPotAtivPontaMesPassado     ,active_max_power_peak_time       ,    180 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Máxima Potência Ativa acumulada em 15min. no mês anterior no horário de ponta
MaxPotAtivForaPontaMesPassado ,active_max_power_off_peak_time   ,    182 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Máxima Potência Ativa acumulada em 15min. no mês anterior no horário fora de ponta
MaxPotReatPontaMesPassado     ,reactive_max_power_peak_time     ,    186 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Máxima Potência Reativa acumulada em 15min. no mês anterior no horário de ponta
MaxPotReatForaPontaMesPassado ,reactive_max_power_off_peak_time ,    188 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Máxima Potência Reativa acumulada em 15min. no mês anterior no horário fora de ponta
EnergGerPonta15min            ,generated_energy_peak_time       ,    264 ,   2 ,float32 ,quartely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia Gerada nos últimos 15 minutos no horário de ponta
EnergGerForaPonta15min        ,generated_energy_off_peak_time   ,    266 ,   2 ,float32 ,quartely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia Gerada nos últimos 15 minutos no horário fora de ponta
ConsumoPonta15min             ,consumption_peak_time            ,    270 ,   2 ,float32 ,quartely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Consumo nos últimos 15 minutos no horário de ponta
ConsumoForaPonta15min         ,consumption_off_peak_time        ,    272 ,   2 ,float32 ,quartely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Consumo nos últimos 15 minutos no horário fora de ponta
ConsumoReserv15min            ,consumption_reserve              ,    274 ,   2 ,float32 ,quartely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Consumo nos últimos 15 minutos no horário reservado
EnergIndPonta15min            ,inductive_power_peak_time        ,    276 ,   2 ,float32 ,quartely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia Indutiva nos últimos 15 minutos no horário de ponta
EnergIndForaPonta15min        ,inductive_power_off_peak_time    ,    278 ,   2 ,float32 ,quartely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia Indutiva nos últimos 15 minutos no horário fora de ponta
EnergCapPonta15min            ,capacitive_power_peak_time       ,    282 ,   2 ,float32 ,quartely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia Capacitiva nos últimos 15 minutos no horário de ponta
EnergCapForaPonta15min        ,capacitive_power_off_peak_time   ,    284 ,   2 ,float32 ,quartely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia Capacitiva nos últimos 15 minutos no horário fora de ponta
